"date","city","forecast_lo_2_prev_PM","forecast_hi_2_prev_PM","forecast_lo_prev_AM","forecast_hi_prev_AM","forecast_lo_prev_PM","forecast_hi_prev_PM","forecast_lo_current_AM","forecast_hi_current_AM","actual_lo_current_PM","actual_hi_current_PM","actual_lo_next_AM","actual_hi_next_AM"
2021-01-30,"ABILENE TX",NA,NA,NA,NA,NA,NA,39,70,54,70,42,70
2021-01-30,"AKRON CANTON",NA,NA,NA,NA,NA,NA,26,30,11,29,26,29
2021-01-30,"ALBANY NY",NA,NA,NA,NA,NA,NA,-1,18,-2,17,-6,17
2021-01-30,"ALBUQUERQUE",NA,NA,NA,NA,NA,NA,26,48,28,48,24,48
2021-01-30,"ALLENTOWN",NA,NA,NA,NA,NA,NA,14,29,16,33,16,33
2021-01-30,"AMARILLO",NA,NA,NA,NA,NA,NA,30,60,39,61,34,61
2021-01-30,"ANCHORAGE",NA,NA,NA,NA,NA,NA,7,18,6,23,9,23
2021-01-30,"ASHEVILLE",NA,NA,NA,NA,NA,NA,32,43,22,38,30,38
2021-01-30,"ATLANTA",NA,NA,NA,NA,NA,NA,44,53,33,52,43,52
2021-01-30,"ATLANTIC CITY",NA,NA,NA,NA,NA,NA,18,33,11,35,16,35
2021-01-30,"AUSTIN",NA,NA,NA,NA,NA,NA,47,77,59,78,48,78
2021-01-30,"BALTIMORE",NA,NA,NA,NA,NA,NA,28,38,20,40,28,40
2021-01-30,"BATON ROUGE",NA,NA,NA,NA,NA,NA,59,70,42,73,65,73
2021-01-30,"BILLINGS",NA,NA,NA,NA,NA,NA,25,42,28,46,23,46
2021-01-30,"BIRMINGHAM",NA,NA,NA,NA,NA,NA,53,59,34,60,52,60
2021-01-30,"BISMARCK",NA,NA,NA,NA,NA,NA,15,28,23,26,20,26
2021-01-30,"BOISE",NA,NA,NA,NA,NA,NA,34,45,32,49,34,49
2021-01-30,"BOSTON",NA,NA,NA,NA,NA,NA,5,22,8,20,7,20
2021-01-30,"BRIDGEPORT",NA,NA,NA,NA,NA,NA,11,26,13,30,16,30
2021-01-30,"BROWNSVILLE",NA,NA,NA,NA,NA,NA,64,80,64,83,67,83
2021-01-30,"BUFFALO",NA,NA,NA,NA,NA,NA,15,24,11,28,13,28
2021-01-30,"BURLINGTON VT",NA,NA,NA,NA,NA,NA,-3,11,5,12,-6,12
2021-01-30,"CARIBOU",NA,NA,NA,NA,NA,NA,2,15,3,11,-7,11
2021-01-30,"CASPER",NA,NA,NA,NA,NA,NA,16,40,25,44,22,44
2021-01-30,"CHARLESTON SC",NA,NA,NA,NA,NA,NA,46,55,27,53,44,53
2021-01-30,"CHARLESTON WV",NA,NA,NA,NA,NA,NA,31,41,17,39,32,39
2021-01-30,"CHARLOTTE",NA,NA,NA,NA,NA,NA,34,46,24,45,36,45
2021-01-30,"CHATTANOOGA",NA,NA,NA,NA,NA,NA,42,52,28,53,41,53
2021-01-30,"CHEYENNE",NA,NA,NA,NA,NA,NA,21,42,29,44,25,44
2021-01-30,"CHICAGO",NA,NA,NA,NA,NA,NA,31,34,28,34,30,34
2021-01-30,"CINCINNATI",NA,NA,NA,NA,NA,NA,33,39,22,37,31,37
2021-01-30,"CLEVELAND",NA,NA,NA,NA,NA,NA,26,31,10,32,27,32
2021-01-30,"COLORADO SPGS",NA,NA,NA,NA,NA,NA,17,49,31,51,25,51
2021-01-30,"COLUMBIA SC",NA,NA,NA,NA,NA,NA,39,52,25,48,41,48
2021-01-30,"COLUMBUS GA",NA,NA,NA,NA,NA,NA,50,60,32,60,46,60
2021-01-30,"COLUMBUS OH",NA,NA,NA,NA,NA,NA,29,35,20,35,28,35
2021-01-30,"LINCOLN",NA,NA,NA,NA,NA,NA,27,37,28,38,30,38
2021-01-30,"LITTLE ROCK",NA,NA,NA,NA,NA,NA,43,59,46,59,49,59
2021-01-30,"LOS ANGELES",NA,NA,NA,NA,NA,NA,46,62,44,64,49,64
2021-01-30,"LOUISVILLE",NA,NA,NA,NA,NA,NA,38,43,27,43,38,43
2021-01-30,"LUBBOCK",NA,NA,NA,NA,NA,NA,32,63,43,67,32,67
2021-01-30,"MACON",NA,NA,NA,NA,NA,NA,46,58,26,57,42,57
2021-01-30,"MADISON",NA,NA,NA,NA,NA,NA,29,33,21,32,28,32
2021-01-30,"MEDFORD",NA,NA,NA,NA,NA,NA,41,51,38,59,50,59
2021-01-30,"MEMPHIS",NA,NA,NA,NA,NA,NA,46,60,46,60,52,60
2021-01-30,"MIAMI BEACH",NA,NA,NA,NA,NA,NA,66,73,58,75,68,75
2021-01-30,"MIDLAND ODESSA",NA,NA,NA,NA,NA,NA,35,66,50,68,36,68
2021-01-30,"MILWAUKEE",NA,NA,NA,NA,NA,NA,31,35,30,34,30,34
2021-01-30,"MPLS ST PAUL",NA,NA,NA,NA,NA,NA,28,33,23,33,29,33
2021-01-30,"MISSOULA",NA,NA,NA,NA,NA,NA,22,39,29,43,21,43
2021-01-30,"MOBILE",NA,NA,NA,NA,NA,NA,58,66,35,66,60,66
2021-01-30,"MONTGOMERY",NA,NA,NA,NA,NA,NA,55,65,35,66,54,66
2021-01-30,"NASHVILLE",NA,NA,NA,NA,NA,NA,44,51,32,51,45,51
2021-01-30,"NEW ORLEANS",NA,NA,NA,NA,NA,NA,61,69,47,73,66,73
2021-01-30,"NEW YORK CITY",NA,NA,NA,NA,NA,NA,17,29,17,32,20,32
2021-01-30,"NEWARK",NA,NA,NA,NA,NA,NA,17,31,16,34,19,34
2021-01-30,"NORFOLK VA",NA,NA,NA,NA,NA,NA,29,38,29,38,32,38
2021-01-30,"NORTH PLATTE",NA,NA,NA,NA,NA,NA,23,39,24,31,28,31
2021-01-30,"OKLAHOMA CITY",NA,NA,NA,NA,NA,NA,33,64,47,67,34,67
2021-01-30,"OMAHA",NA,NA,NA,NA,NA,NA,27,38,35,39,30,39
2021-01-30,"ORLANDO",NA,NA,NA,NA,NA,NA,54,71,45,72,53,72
2021-01-30,"PADUCAH",NA,NA,NA,NA,NA,NA,43,49,34,49,44,49
2021-01-30,"PENDLETON",NA,NA,NA,NA,NA,NA,40,49,33,55,46,55
2021-01-30,"PEORIA",NA,NA,NA,NA,NA,NA,33,37,30,36,33,36
2021-01-30,"PHILADELPHIA",NA,NA,NA,NA,NA,NA,23,32,19,35,25,35
2021-01-30,"PHOENIX",NA,NA,NA,NA,NA,NA,42,62,43,62,44,62
2021-01-30,"PITTSBURGH",NA,NA,NA,NA,NA,NA,25,30,8,30,27,30
2021-01-30,"POCATELLO",NA,NA,NA,NA,NA,NA,22,40,30,39,17,39
2021-01-30,"PORTLAND ME",NA,NA,NA,NA,NA,NA,3,21,7,19,2,19
2021-01-30,"PORTLAND OR",NA,NA,NA,NA,NA,NA,44,49,42,47,44,47
2021-01-30,"PROVIDENCE",NA,NA,NA,NA,NA,NA,5,23,8,23,7,23
2021-01-30,"PUEBLO",NA,NA,NA,NA,NA,NA,17,55,29,58,24,58
2021-01-30,"RALEIGH DURHAM",NA,NA,NA,NA,NA,NA,31,43,21,44,33,44
2021-01-30,"RAPID CITY",NA,NA,NA,NA,NA,NA,19,37,20,38,16,38
2021-01-30,"RENO",NA,NA,NA,NA,NA,NA,24,41,25,43,27,43
2021-01-30,"RICHMOND",NA,NA,NA,NA,NA,NA,27,41,18,40,30,40
2021-01-30,"ROANOKE",NA,NA,NA,NA,NA,NA,29,41,20,38,29,38
2021-01-30,"ROCHESTER NY",NA,NA,NA,NA,NA,NA,11,21,6,25,3,25
2021-01-30,"ROCKFORD",NA,NA,NA,NA,NA,NA,30,33,27,35,31,35
2021-01-30,"SACRAMENTO",NA,NA,NA,NA,NA,NA,43,57,40,59,45,59
2021-01-30,"ST LOUIS",NA,NA,NA,NA,NA,NA,37,45,35,42,37,42
2021-01-30,"ST PETERSBURG",NA,NA,NA,NA,NA,NA,60,71,54,72,59,72
2021-01-30,"ST THOMAS VI",NA,NA,NA,NA,NA,NA,74,83,77,83,74,83
2021-01-30,"CONCORD NH",NA,NA,NA,NA,NA,NA,-2,20,6,19,-3,19
2021-01-30,"CORPUS CHRISTI",NA,NA,NA,NA,NA,NA,54,80,64,82,56,82
2021-01-30,"DALLAS FT WORTH",NA,NA,NA,NA,NA,NA,42,77,54,75,41,75
2021-01-30,"DAYTON",NA,NA,NA,NA,NA,NA,30,36,20,35,30,35
2021-01-30,"DAYTONA BEACH",NA,NA,NA,NA,NA,NA,54,68,40,69,49,69
2021-01-30,"DENVER",NA,NA,NA,NA,NA,NA,21,49,32,53,19,53
2021-01-30,"DES MOINES",NA,NA,NA,NA,NA,NA,29,37,30,33,30,33
2021-01-30,"DETROIT",NA,NA,NA,NA,NA,NA,25,30,12,29,27,29
2021-01-30,"DULUTH",NA,NA,NA,NA,NA,NA,24,28,22,28,27,28
2021-01-30,"EL PASO",NA,NA,NA,NA,NA,NA,34,57,45,61,37,61
2021-01-30,"ELKINS",NA,NA,NA,NA,NA,NA,26,38,6,37,25,37
2021-01-30,"ERIE",NA,NA,NA,NA,NA,NA,22,28,26,30,26,30
2021-01-30,"EUGENE",NA,NA,NA,NA,NA,NA,43,50,42,53,47,53
2021-01-30,"EVANSVILLE",NA,NA,NA,NA,NA,NA,40,44,31,42,40,42
2021-01-30,"FAIRBANKS",NA,NA,NA,NA,NA,NA,-17,-7,-18,-4,-7,-3
2021-01-30,"FARGO",NA,NA,NA,NA,NA,NA,20,28,24,26,20,26
2021-01-30,"FLAGSTAFF",NA,NA,NA,NA,NA,NA,12,38,12,41,6,41
2021-01-30,"FLINT",NA,NA,NA,NA,NA,NA,24,30,1,29,26,29
2021-01-30,"FORT SMITH",NA,NA,NA,NA,NA,NA,38,63,44,67,42,67
2021-01-30,"FORT WAYNE",NA,NA,NA,NA,NA,NA,28,33,22,33,27,33
2021-01-30,"FRESNO",NA,NA,NA,NA,NA,NA,39,56,39,60,42,60
2021-01-30,"GOODLAND",NA,NA,NA,NA,NA,NA,26,46,24,47,25,47
2021-01-30,"GRAND JUNCTION",NA,NA,NA,NA,NA,NA,19,42,32,43,25,43
2021-01-30,"GRAND RAPIDS",NA,NA,NA,NA,NA,NA,25,29,13,28,24,28
2021-01-30,"GREAT FALLS",NA,NA,NA,NA,NA,NA,25,43,12,43,20,43
2021-01-30,"GREEN BAY",NA,NA,NA,NA,NA,NA,26,32,22,34,28,34
2021-01-30,"GREENSBORO",NA,NA,NA,NA,NA,NA,31,43,24,42,32,42
2021-01-30,"HARRISBURG",NA,NA,NA,NA,NA,NA,23,33,23,37,23,37
2021-01-30,"HARTFORD SPGFLD",NA,NA,NA,NA,NA,NA,1,22,1,24,1,24
2021-01-30,"HELENA",NA,NA,NA,NA,NA,NA,18,41,29,43,22,43
2021-01-30,"HONOLULU",NA,NA,NA,NA,NA,NA,70,81,71,82,71,82
2021-01-30,"HOUSTON INTCNTL",NA,NA,NA,NA,NA,NA,52,73,50,74,57,74
2021-01-30,"HUNTSVILLE AL",NA,NA,NA,NA,NA,NA,49,58,32,56,48,56
2021-01-30,"INDIANAPOLIS",NA,NA,NA,NA,NA,NA,32,37,25,36,31,36
2021-01-30,"JACKSON MS",NA,NA,NA,NA,NA,NA,56,65,43,64,60,64
2021-01-30,"JACKSONVILLE",NA,NA,NA,NA,NA,NA,52,65,35,64,45,64
2021-01-30,"JUNEAU",NA,NA,NA,NA,NA,NA,21,31,25,32,19,32
2021-01-30,"KANSAS CITY",NA,NA,NA,NA,NA,NA,31,51,43,51,33,51
2021-01-30,"KEY WEST",NA,NA,NA,NA,NA,NA,69,74,64,75,70,75
2021-01-30,"KNOXVILLE",NA,NA,NA,NA,NA,NA,36,45,24,35,32,35
2021-01-30,"LAKE CHARLES",NA,NA,NA,NA,NA,NA,53,70,46,72,62,72
2021-01-30,"LANSING",NA,NA,NA,NA,NA,NA,25,28,8,28,25,28
2021-01-30,"LAS VEGAS",NA,NA,NA,NA,NA,NA,38,54,37,56,38,56
2021-01-30,"LEXINGTON",NA,NA,NA,NA,NA,NA,35,42,23,38,33,38
2021-01-30,"SALEM OR",NA,NA,NA,NA,NA,NA,44,48,41,51,46,51
2021-01-30,"SALT LAKE CITY",NA,NA,NA,NA,NA,NA,22,41,32,43,29,43
2021-01-30,"SAN ANGELO",NA,NA,NA,NA,NA,NA,38,73,52,73,37,73
2021-01-30,"SAN ANTONIO",NA,NA,NA,NA,NA,NA,48,76,59,76,47,76
2021-01-30,"SAN DIEGO",NA,NA,NA,NA,NA,NA,45,62,45,62,46,62
2021-01-30,"SAN FRANCISCO",NA,NA,NA,NA,NA,NA,49,58,47,58,53,58
2021-01-30,"SAN JOSE",NA,NA,NA,NA,NA,NA,43,59,41,62,50,62
2021-01-30,"SAN JUAN PR",NA,NA,NA,NA,NA,NA,74,80,71,83,72,83
2021-01-30,"SANTA FE",NA,NA,NA,NA,NA,NA,19,44,26,44,22,44
2021-01-30,"ST STE MARIE",NA,NA,NA,NA,NA,NA,11,23,5,25,11,25
2021-01-30,"SAVANNAH",NA,NA,NA,NA,NA,NA,48,59,31,59,45,59
2021-01-30,"SEATTLE",NA,NA,NA,NA,NA,NA,43,48,41,50,44,50
2021-01-30,"SHREVEPORT",NA,NA,NA,NA,NA,NA,43,69,47,64,47,65
2021-01-30,"SIOUX CITY",NA,NA,NA,NA,NA,NA,25,36,30,34,28,34
2021-01-30,"SIOUX FALLS",NA,NA,NA,NA,NA,NA,24,33,27,30,27,30
2021-01-30,"SOUTH BEND",NA,NA,NA,NA,NA,NA,28,33,24,32,27,32
2021-01-30,"SPOKANE",NA,NA,NA,NA,NA,NA,33,40,32,41,37,41
2021-01-30,"SPRINGFIELD IL",NA,NA,NA,NA,NA,NA,34,39,28,37,34,37
2021-01-30,"SPRINGFIELD MO",NA,NA,NA,NA,NA,NA,34,52,42,52,34,52
2021-01-30,"SYRACUSE",NA,NA,NA,NA,NA,NA,-2,18,12,23,6,23
2021-01-30,"TALLAHASSEE",NA,NA,NA,NA,NA,NA,52,64,31,66,46,66
2021-01-30,"TAMPA",NA,NA,NA,NA,NA,NA,59,73,50,72,57,72
2021-01-30,"TOLEDO",NA,NA,NA,NA,NA,NA,26,32,15,32,27,32
2021-01-30,"TOPEKA",NA,NA,NA,NA,NA,NA,31,48,40,52,33,52
2021-01-30,"TUCSON",NA,NA,NA,NA,NA,NA,38,61,41,61,38,61
2021-01-30,"TULSA",NA,NA,NA,NA,NA,NA,36,63,50,65,38,65
2021-01-30,"TUPELO",NA,NA,NA,NA,NA,NA,49,60,42,63,53,63
2021-01-30,"WACO",NA,NA,NA,NA,NA,NA,44,78,54,81,47,81
2021-01-30,"WASHINGTON DC",NA,NA,NA,NA,NA,NA,30,39,24,40,30,40
2021-01-30,"W PALM BEACH",NA,NA,NA,NA,NA,NA,63,72,55,74,66,74
2021-01-30,"WICHITA",NA,NA,NA,NA,NA,NA,30,52,44,52,32,52
2021-01-30,"WICHITA FALLS",NA,NA,NA,NA,NA,NA,38,71,49,72,35,72
2021-01-30,"WILKES BARRE",NA,NA,NA,NA,NA,NA,11,25,14,28,13,28
2021-01-30,"WILMINGTON DE",NA,NA,NA,NA,NA,NA,22,33,16,37,23,37
2021-01-30,"YAKIMA",NA,NA,NA,NA,NA,NA,34,43,27,42,33,42
2021-01-30,"YOUNGSTOWN",NA,NA,NA,NA,NA,NA,24,30,8,30,27,30
2021-01-30,"YUMA",NA,NA,NA,NA,NA,NA,46,65,43,65,47,65
2021-01-31,"SALEM OR",NA,NA,42,51,44,52,46,51,46,52,47,52
2021-01-31,"SALT LAKE CITY",NA,NA,25,42,23,44,25,43,28,47,27,47
2021-01-31,"SAN ANGELO",NA,NA,32,64,39,63,32,64,37,65,28,65
2021-01-31,"SAN ANTONIO",NA,NA,42,71,49,71,42,70,47,73,45,73
2021-01-31,"SAN DIEGO",NA,NA,49,66,46,66,51,66,46,68,58,68
2021-01-31,"SAN FRANCISCO",NA,NA,50,61,49,61,49,62,51,61,49,61
2021-01-31,"SAN JOSE",NA,NA,46,63,43,63,45,64,49,66,49,66
2021-01-31,"SAN JUAN PR",NA,NA,72,81,74,81,72,82,72,80,71,80
2021-01-31,"SANTA FE",NA,NA,18,46,18,46,22,46,NA,NA,NA,NA
2021-01-31,"ST STE MARIE",NA,NA,10,24,9,24,10,24,10,25,6,25
2021-01-31,"SAVANNAH",NA,NA,47,68,48,67,47,69,45,71,51,71
2021-01-31,"SEATTLE",NA,NA,44,50,44,51,44,50,44,50,43,50
2021-01-31,"SHREVEPORT",NA,NA,36,55,45,58,34,57,46,59,37,59
2021-01-31,"SIOUX CITY",NA,NA,12,32,25,32,14,32,27,29,26,29
2021-01-31,"SIOUX FALLS",NA,NA,12,31,24,30,14,30,27,28,23,28
2021-01-31,"SOUTH BEND",NA,NA,22,34,28,32,23,32,27,34,24,34
2021-01-31,"SPOKANE",NA,NA,37,43,33,44,36,43,37,45,38,45
2021-01-31,"SPRINGFIELD IL",NA,NA,27,35,34,35,27,34,33,34,31,34
2021-01-31,"SPRINGFIELD MO",NA,NA,27,37,33,37,28,34,33,33,30,33
2021-01-31,"SYRACUSE",NA,NA,11,23,-3,22,14,22,5,22,16,22
2021-01-31,"TALLAHASSEE",NA,NA,44,71,51,70,44,70,46,74,48,74
2021-01-31,"TAMPA",NA,NA,58,75,58,73,57,75,57,75,62,75
2021-01-31,"TOLEDO",NA,NA,25,31,25,32,24,31,27,32,26,32
2021-01-31,"TOPEKA",NA,NA,25,34,30,37,25,35,33,39,29,39
2021-01-31,"TUCSON",NA,NA,48,72,39,73,50,73,38,75,57,75
2021-01-31,"TULSA",NA,NA,29,46,35,46,29,44,38,46,26,46
2021-01-31,"TUPELO",NA,NA,35,56,53,55,34,56,53,62,40,62
2021-01-31,"WACO",NA,NA,35,61,43,60,35,60,45,61,40,61
2021-01-31,"WASHINGTON DC",NA,NA,32,32,29,32,33,33,30,33,30,33
2021-01-31,"W PALM BEACH",NA,NA,63,77,63,77,64,77,66,79,64,79
2021-01-31,"WICHITA",NA,NA,24,42,29,41,27,40,32,39,23,39
2021-01-31,"WICHITA FALLS",NA,NA,30,57,36,56,29,56,34,56,32,56
2021-01-31,"WILKES BARRE",NA,NA,22,29,7,28,22,27,13,27,20,27
2021-01-31,"WILMINGTON DE",NA,NA,27,31,21,30,29,31,23,30,26,30
2021-01-31,"YAKIMA",NA,NA,36,44,35,45,36,44,33,46,35,46
2021-01-31,"YOUNGSTOWN",NA,NA,27,31,24,31,26,31,27,34,26,34
2021-01-31,"YUMA",NA,NA,52,69,46,70,55,70,47,71,54,71
2021-01-31,"LINCOLN",NA,NA,13,33,26,33,16,33,29,31,20,31
2021-01-31,"LITTLE ROCK",NA,NA,34,50,41,49,33,48,47,48,37,48
2021-01-31,"LOS ANGELES",NA,NA,52,69,46,69,52,70,49,71,60,71
2021-01-31,"LOUISVILLE",NA,NA,32,49,36,45,30,48,38,49,31,49
2021-01-31,"LUBBOCK",NA,NA,28,58,34,57,28,58,32,59,29,59
2021-01-31,"MACON",NA,NA,41,66,46,64,41,64,42,62,43,62
2021-01-31,"MADISON",NA,NA,19,31,28,31,18,31,28,30,14,30
2021-01-31,"MEDFORD",NA,NA,41,52,40,59,42,59,50,57,40,57
2021-01-31,"MEMPHIS",NA,NA,35,52,48,49,34,50,51,53,37,53
2021-01-31,"MIAMI BEACH",NA,NA,66,77,65,77,66,77,68,78,66,78
2021-01-31,"MIDLAND ODESSA",NA,NA,31,61,36,60,31,61,36,61,45,61
2021-01-31,"MILWAUKEE",NA,NA,27,35,30,32,26,34,30,33,26,33
2021-01-31,"MPLS ST PAUL",NA,NA,21,33,27,33,21,33,29,33,26,33
2021-01-31,"MISSOULA",NA,NA,27,41,22,41,24,41,21,46,33,46
2021-01-31,"MOBILE",NA,NA,40,71,58,72,39,73,60,75,42,75
2021-01-31,"MONTGOMERY",NA,NA,41,70,53,71,40,71,54,74,43,74
2021-01-31,"NASHVILLE",NA,NA,34,56,45,56,33,52,45,57,34,57
2021-01-31,"NEW ORLEANS",NA,NA,43,69,62,69,42,70,66,77,48,77
2021-01-31,"NEW YORK CITY",NA,NA,26,30,18,30,26,28,20,26,22,26
2021-01-31,"NEWARK",NA,NA,25,30,17,30,26,30,19,26,22,26
2021-01-31,"NORFOLK VA",NA,NA,41,47,29,47,40,47,32,51,37,51
2021-01-31,"NORTH PLATTE",NA,NA,14,42,21,42,12,42,21,47,16,47
2021-01-31,"OKLAHOMA CITY",NA,NA,28,48,32,48,27,47,32,48,27,48
2021-01-31,"OMAHA",NA,NA,17,34,27,34,17,33,30,31,26,31
2021-01-31,"ORLANDO",NA,NA,56,77,54,77,57,77,53,78,61,78
2021-01-31,"PADUCAH",NA,NA,32,48,45,47,32,47,44,47,35,47
2021-01-31,"PENDLETON",NA,NA,42,51,40,52,44,56,46,56,49,56
2021-01-31,"PEORIA",NA,NA,25,35,33,35,24,33,32,33,30,33
2021-01-31,"PHILADELPHIA",NA,NA,27,31,21,30,29,31,25,31,25,31
2021-01-31,"PHOENIX",NA,NA,50,71,43,72,52,72,43,72,52,72
2021-01-31,"PITTSBURGH",NA,NA,27,32,26,33,29,32,27,32,27,32
2021-01-31,"POCATELLO",NA,NA,18,41,20,42,19,42,16,44,16,44
2021-01-31,"PORTLAND ME",NA,NA,11,27,3,25,10,25,2,27,5,27
2021-01-31,"PORTLAND OR",NA,NA,44,51,44,50,46,51,44,51,47,51
2021-01-31,"PROVIDENCE",NA,NA,19,27,8,26,21,26,7,25,23,25
2021-01-31,"PUEBLO",NA,NA,17,50,18,50,16,50,24,50,19,50
2021-01-31,"RALEIGH DURHAM",NA,NA,34,38,32,38,34,41,33,38,33,38
2021-01-31,"RAPID CITY",NA,NA,18,47,20,47,17,49,14,51,14,51
2021-01-31,"RENO",NA,NA,29,46,25,45,28,45,26,47,29,47
2021-01-31,"RICHMOND",NA,NA,34,36,27,36,34,36,30,33,31,33
2021-01-31,"ROANOKE",NA,NA,31,33,27,33,31,33,29,32,31,32
2021-01-31,"ROCHESTER NY",NA,NA,15,23,8,22,17,24,3,25,20,25
2021-01-31,"ROCKFORD",NA,NA,24,33,30,33,21,33,31,34,21,34
2021-01-31,"SACRAMENTO",NA,NA,46,60,44,61,43,62,45,65,48,65
2021-01-31,"ST LOUIS",NA,NA,30,40,36,37,29,37,36,37,33,37
2021-01-31,"ST PETERSBURG",NA,NA,58,72,59,72,57,73,59,75,63,75
2021-01-31,"ST THOMAS VI",NA,NA,74,83,74,83,74,82,74,83,75,83
2021-01-31,"CONCORD NH",NA,NA,7,27,-5,28,7,27,-3,25,3,25
2021-01-31,"CORPUS CHRISTI",NA,NA,44,74,56,75,43,73,56,82,49,82
2021-01-31,"DALLAS FT WORTH",NA,NA,35,55,40,55,34,55,41,58,36,58
2021-01-31,"DAYTON",NA,NA,28,38,30,38,27,37,30,36,27,36
2021-01-31,"DAYTONA BEACH",NA,NA,53,77,54,76,54,77,49,78,59,78
2021-01-31,"DENVER",NA,NA,25,50,20,50,24,50,19,52,23,52
2021-01-31,"DES MOINES",NA,NA,22,32,28,31,21,32,30,32,24,32
2021-01-31,"DETROIT",NA,NA,22,33,25,31,23,32,27,31,25,31
2021-01-31,"DULUTH",NA,NA,18,30,23,30,17,28,27,29,22,29
2021-01-31,"EL PASO",NA,NA,37,61,33,62,38,62,37,62,37,62
2021-01-31,"ELKINS",NA,NA,27,37,27,33,29,36,25,38,31,38
2021-01-31,"ERIE",NA,NA,27,33,25,32,27,33,26,37,27,37
2021-01-31,"EUGENE",NA,NA,42,52,43,51,44,51,47,55,48,55
2021-01-31,"EVANSVILLE",NA,NA,31,47,41,45,31,45,40,46,32,46
2021-01-31,"FAIRBANKS",NA,NA,-27,-10,-22,-16,-31,-16,-7,-3,-17,-3
2021-01-31,"FARGO",NA,NA,9,28,17,26,11,26,20,27,22,27
2021-01-31,"FLAGSTAFF",NA,NA,18,40,10,40,19,40,6,37,17,37
2021-01-31,"FLINT",NA,NA,22,32,24,30,22,31,26,30,21,30
2021-01-31,"FORT SMITH",NA,NA,30,47,39,46,29,45,41,44,35,44
2021-01-31,"FORT WAYNE",NA,NA,23,35,28,33,23,33,27,32,26,32
2021-01-31,"FRESNO",NA,NA,47,59,39,60,48,61,42,63,52,63
2021-01-31,"GOODLAND",NA,NA,20,46,24,46,21,46,25,49,19,49
2021-01-31,"GRAND JUNCTION",NA,NA,18,41,18,42,19,42,24,45,23,45
2021-01-31,"GRAND RAPIDS",NA,NA,22,31,25,31,22,30,24,31,25,31
2021-01-31,"GREAT FALLS",NA,NA,30,47,23,47,29,47,20,49,33,49
2021-01-31,"GREEN BAY",NA,NA,20,32,27,31,20,33,28,32,20,32
2021-01-31,"GREENSBORO",NA,NA,32,34,31,33,32,35,32,34,30,34
2021-01-31,"HARRISBURG",NA,NA,26,30,22,30,26,28,23,29,23,29
2021-01-31,"HARTFORD SPGFLD",NA,NA,16,27,4,25,19,25,1,21,19,21
2021-01-31,"HELENA",NA,NA,22,43,18,44,20,43,22,43,19,43
2021-01-31,"HONOLULU",NA,NA,68,81,70,81,68,81,70,82,71,82
2021-01-31,"HOUSTON INTCNTL",NA,NA,41,66,52,65,41,64,56,67,42,67
2021-01-31,"HUNTSVILLE AL",NA,NA,34,60,47,61,33,63,48,64,36,64
2021-01-31,"INDIANAPOLIS",NA,NA,25,38,32,38,25,37,31,35,27,35
2021-01-31,"JACKSON MS",NA,NA,37,61,55,62,36,62,60,67,41,67
2021-01-31,"JACKSONVILLE",NA,NA,50,73,52,74,50,76,45,77,56,77
2021-01-31,"JUNEAU",NA,NA,23,31,21,31,20,31,16,30,14,30
2021-01-31,"KANSAS CITY",NA,NA,25,34,31,35,26,33,33,34,29,34
2021-01-31,"KEY WEST",NA,NA,70,76,68,77,68,78,70,77,66,77
2021-01-31,"KNOXVILLE",NA,NA,36,55,33,54,34,55,32,43,33,43
2021-01-31,"LAKE CHARLES",NA,NA,40,66,54,64,39,64,58,65,41,65
2021-01-31,"LANSING",NA,NA,20,30,24,31,22,29,25,28,20,28
2021-01-31,"LAS VEGAS",NA,NA,43,57,39,57,45,57,37,59,47,59
2021-01-31,"LEXINGTON",NA,NA,30,51,33,46,29,46,33,48,28,48
2021-01-31,"ABILENE TX",NA,NA,32,60,38,59,32,59,40,60,31,60
2021-01-31,"AKRON CANTON",NA,NA,28,30,26,32,27,31,26,33,27,33
2021-01-31,"ALBANY NY",NA,NA,9,22,-1,23,10,17,-6,17,10,17
2021-01-31,"ALBUQUERQUE",NA,NA,26,50,24,50,28,50,24,51,31,51
2021-01-31,"ALLENTOWN",NA,NA,22,28,13,25,24,27,16,25,19,25
2021-01-31,"AMARILLO",NA,NA,28,54,29,54,29,54,32,56,24,56
2021-01-31,"ANCHORAGE",NA,NA,3,11,7,11,3,11,7,13,5,13
2021-01-31,"ASHEVILLE",NA,NA,34,42,32,43,34,46,30,38,34,38
2021-01-31,"ATLANTA",NA,NA,38,60,44,59,37,59,43,46,38,46
2021-01-31,"ATLANTIC CITY",NA,NA,29,34,17,35,33,35,16,34,33,34
2021-01-31,"AUSTIN",NA,NA,40,68,47,67,39,65,48,70,42,70
2021-01-31,"BALTIMORE",NA,NA,30,31,27,31,32,32,28,31,29,31
2021-01-31,"BATON ROUGE",NA,NA,40,66,59,65,39,66,65,70,45,70
2021-01-31,"BILLINGS",NA,NA,28,46,24,46,28,46,23,50,25,50
2021-01-31,"BIRMINGHAM",NA,NA,37,63,51,63,35,64,52,70,38,70
2021-01-31,"BISMARCK",NA,NA,16,37,13,33,14,33,19,22,20,22
2021-01-31,"BOISE",NA,NA,36,50,33,49,35,49,34,52,36,52
2021-01-31,"BOSTON",NA,NA,19,27,10,26,20,26,7,23,21,23
