"CITY","STATE","LAT","LON","KOPPEN","ELEVATION","ELEVATION_CHANGE","DISTANCE_TO_COAST","WIND"
"FLORENCE","SC",34.19,-79.73,"Cfa",43.42,25.02,63.55,3.25
"FORT_SMITH","AR",35.33,-94.3,"Cfa",136.36,130.47,369.98,2.91
"FORT_THOMPSON","SD",43.77,-99.32,"Dfa",516.18,84.4999999999999,1011.22,4.64
"FORT_WAYNE","IN",40.97,-85.2,"Dfa",241.5,21.89,568.74,4.43
"FRESNO","CA",36.78,-119.7194,"BSk",102.17,53.27,123.02,2.49
"GEORGETOWN","DE",38.69,-75.36,"Cfa",15.35,15.63,12.56,3.87
"GLOCESTER","RI",41.9043,-71.6911,"Cfb",154.14,62.36,21.51,2.57
"GOODLAND","KS",39.37,-101.6,"BSk",1091.98,47.24,802.96,4.69
"GRAND_FORKS","ND",47.95,-97.18,"Dfb",255.24,10.52,1260.54,4.07
"GRAND_JUNCTION","CO",39.13389,-108.5386,"BSk",1468.39,870.94,630.87,2.3
"GRAND_RAPIDS","MI",42.88,-85.5,"Dfb",239.65,32.9,640.21,4.48
"GREAT_FALLS","MT",47.47333,-111.3822,"BSk",1117.24,188.92,746.83,4.95
"GREEN_BAY","WI",44.48,-88.1,"Dfb",196.7,59.95,850.65,2.92
"GREEN_RIVER","UT",38.418037,-110.704038,"BSk",1351.55,309.36,517.94,2.55
"GREENSBORO","NC",36.1,-79.9,"Cfa",268.83,78.65,177.76,3.75
"GREENVILLE","SC",34.85,-82.35,"Cfa",311.69,171.26,189.89,2.59
"GULFPORT","MS",30.41,-89.08,"Cfa",4.84,44.47,3.6,3.32
"GUYMON","OK",36.68,-101.51,"BSk",953.31,89.6800000000001,642.92,4.96
"HAGERSTOWN","MD",39.71,-77.73,"Cfa",213.11,64.76,72.06,2.9
"HARRISBURG","PA",40.22,-76.8,"Cfa",124.76,80.46,63.37,3.59
"HARTFORD_SPGFLD","CT",41.74,-72.6,"Dfa",18.43,187.08,29.52,2.48
"HATTIESBURG","MS",31.27,-89.26,"Cfa",45.47,47.85,61.14,3.11
"HELENA","MT",46.60445,-111.989,"BSk",1177.75,991.1,710.79,3.08
"HONOLULU","HI",21.33,-157.9,"As",1.77,463.99,2651.97,4.1
"HOPE","AR",33.46,-93.99,"Cfa",114.25,44.26,239.85,4.44
"HOULTON","ME",46.12,-67.79,"Dfb",147.21,103.35,73.87,2.95
"HOUSTON","TX",29.64,-95.2,"Cfa",11.41,5.01,10.64,2.48
"HUNTSVILLE","AL",34.68,-86.6,"Cfa",176.72,271.18,282.57,3.08
"INDIANAPOLIS","IN",39.73,-86.2,"Cfa",207.21,82.57,616.62,2.6
"JACKSON","MS",32.33,-90.2,"Cfa",92.27,32.55,133.81,2.5
"JACKSONVILLE","FL",30.23,-81.6,"Cfa",0.56,26.36,14.92,2.26
"JONESBORO","AR",35.84,-90.64,"Cfa",77.83,65.84,377.28,3.91
"JUNEAU","AK",58.35,-134.5,"Dfc",2.34,222.9,759.95,3.13
"KALAOA","HI",19.74,-156.05,"Af",9.88,455.88,2593.37,2.27
"KANSAS_CITY","MO",39.12,-94,"Dfa",241.22,30.88,630.29,4.42
"KEENE","NH",42.9,-72.27,"Dfb",143.47,270.17,92.16,2.53
"KEY_WEST","FL",24.56,-81.7,"Aw",0,1.24,1.05,4.82
"KIHEI","HI",20.89,-156.44,"Af",5,460.76,2577.33,3.65
"KNOXVILLE","TN",35.82,-83.9,"Cfa",263.16,219.7,308.84,2.92
"LAKE_CHARLES","LA",30.13,-93.2,"Cfa",3.03,5.03,24.65,4.16
"LAKEWOOD","NJ",40.18,-74.13,"Cfa",28.68,24.63,8.17,3.19
"LANSING","MI",42.78,-84,"Dfb",270.39,44.05,546.96,4.23
"LAS_CRUCES","NM",32.29,-106.92,"BWk",1354.42,188.47,392.88,3.34
"LAS_VEGAS","NV",36.21205,-115.1939,"BWk",667.36,700.27,254.79,2.96
"LAWRENCE","MA",42.71,-71.13,"Dfb",25.59,65.1,20.05,2.96
